room_id_name,room_id_difficulty,room_id_tools,room_id_description,room_id_practical_applicability,room_id_lessons_learnt,room_id_user_opinions
0day,medium,"['Nmap', 'Metasploit', 'ShellShock exploit tools']",- **TryHackMe 0x41haz** module mandates **ELF header** parsing using **readelf** or **objdump** to map segments and sections; successful flag retrieval necessitates identifying and defeating **ptrace** or **timing-based** anti-debugging checks within the binary's execution flow,"Server patch management, vulnerability assessment for outdated systems","['ShellShock CVE-2014-6271 exploitation', 'kernel privilege escalation', 'importance of regular updates']","Praised for practical demonstration of real vulnerabilities, good for beginners to medium skill level"
0x41haz,easy,"['Hex editor', 'reverse engineering tools (Ghidra', 'IDA)', 'binary analysis tools']",- **TryHackMe AD: BadSuccessor** focuses on exploiting identified **WriteDACL** or **GenericAll** permissions using **Rubeus (asreproast/dcsync)** or **Impacket's secretsdump.py** against the Domain Naming Context (NC) to initiate a **DCSync** replication request,"Introduction to reverse engineering, understanding ELF file structure and anti-debugging techniques","['ELF binary structure', 'hex editing to patch binaries', 'bypassing anti-reversing measures', 'basic reverse engineering']",Described as beginner-friendly introduction to reverse engineering with clear learning objectives
A Bucket of Phish,easy,"['Nmap', 'Burp Suite', 'Metasploit', 'Wireshark', 'various web tools']",- **TryHackMe Advanced SQL Injection** module covers exploiting complex database vulnerabilities using **SQLMap** for automated discovery,Comprehensive introduction to multiple cybersecurity domains through daily beginner-friendly challenges,"['Web exploitation basics', 'network security fundamentals', 'OSINT techniques', 'defensive blue team concepts', 'scripting']","Praised as excellent beginner resource, fun and engaging format, accessible to newcomers with no prior experience"
A Bucket of Phish,easy,"['Web browser', 'AWS CLI (optional)', 'curl', 'network analysis tools']",- **TryHackMe Advent of Cyber 1 [2019]** introduced foundational concepts: basic **nmap** SYN scans (`-sS`) for host discovery,"Cloud security awareness, S3 bucket misconfigurations, understanding phishing infrastructure","['AWS S3 security misconfigurations', 'public bucket enumeration', 'cloud storage security best practices']",Users appreciate the practical demonstration of common cloud misconfigurations and real-world relevance
Abusing Windows Internals,hard,"['Visual Studio', 'Windows API', 'Metasploit', 'custom C/C++ tools', 'process injection tools']",- **TryHackMe Advent of Cyber 2 [2020]** advanced to include practical **theHarvester** usage for external reconnaissance gathering against specified domains,"Advanced malware development, red team operations, understanding EDR bypass techniques","['Process injection techniques', 'process hollowing', 'DLL injection', 'thread hijacking', 'APC queuing', 'Windows API abuse']",Considered challenging but invaluable for understanding modern malware techniques and EDR evasion strategies
Active Directory Basics,easy,"['RDP', 'Microsoft Management Console (MMC)', 'Active Directory Users and Computers', 'PowerShell']",- **TryHackMe Adventure Time** utilized esoteric **encoding challenges** requiring intensive **CyberChef** manipulation for base conversion decoding (e.g.,"Understanding corporate Windows environments, managing users and groups, domain authentication basics","['Domain controller concepts', 'organizational units', 'AD object types', 'Windows authentication', 'domain trust relationships']","Considered essential foundation for AD security, some users note need for more detailed RDP setup instructions"
Active Directory Hardening,medium,"['Group Policy Editor', 'Microsoft Security Compliance Toolkit', 'PowerShell', 'AD hardening tools']",- **TryHackMe Anonforce** challenge mandates **nmap** reconnaissance targeting anonymous FTP access; successful enumeration via FTP yields user file listings; subsequent **theHarvester** use on identified usernames uncovers credential snippets; captured password hashes are cracked offline using **hashcat** or **john**; final pivot involves decrypting a GPG-encrypted message utilizing the cracked private key found within system files for root access. (69 words; tools: **nmap**,"Securing enterprise AD environments, implementing security best practices, compliance requirements","['GPO configuration', 'SMB/LDAP signing', 'password policy implementation', 'security baseline templates', 'AD attack mitigation']","Highly rated for practical security techniques, users appreciate hands-on Group Policy experience"
Active Reconnaissance,easy,"['Nmap', 'ping', 'traceroute', 'telnet', 'web browser developer tools', 'Wappalyzer']",- **TryHackMe Anonymous Playground** facilitates learning basic enumeration via **nmap** service scanning; web enumeration utilizes **gobuster** for hidden directories; exploitation often involves testing low-hanging fruit like default credentials or known vulnerable service versions found during initial reconnaissance before moving to simple privilege escalation paths. (46 words; tools: **nmap**,"Network discovery, penetration testing enumeration phase, security assessment methodologies","['Port scanning techniques', 'service identification', 'network mapping', 'DNS enumeration', 'OS fingerprinting basics']",Well-received for clear explanations of reconnaissance concepts and practical tool usage
AD Certificate Templates,hard,"['Certipy', 'Certify.exe', 'Rubeus', 'OpenSSL', 'AD CS enumeration tools']",- **TryHackMe Anthem** focuses on foundational Windows exploitation: initial **nmap** targeting common SMB/RDP ports; manual enumeration involves querying `systeminfo` and user permissions; privilege escalation often targets unquoted service paths or weak service binaries identified through manual inspection or tools like **WinPEAS** post-initial shell establishment. (48 words; tools: **nmap**,"Advanced AD security testing, certificate-based authentication attacks, enterprise PKI security","['AD CS vulnerabilities', 'certificate template exploitation', 'ESC1 attacks', 'PKINIT authentication', 'privilege escalation via certificates']","Praised as essential for modern AD pentesting, challenging but rewarding for advanced practitioners"
AD Tier Model,medium,"['Group Policy', 'Active Directory administrative tools', 'tiering implementation frameworks']",- **TryHackMe Anti-Reverse Engineering** room covers defeating malware protection: analyzing compiler artifacts to identify anti-debugging checks (e.g.,"Enterprise AD security architecture, privileged access management, defense-in-depth strategies","['Administrative tiering concepts', 'Tier 0/1/2 segregation', 'privileged access workstations', 'lateral movement prevention']",Valued for teaching enterprise-grade AD security architecture and modern security frameworks
AD: Authenticated Enumeration,medium,"['BloodHound', 'SharpHound', 'PowerView', 'ADRecon', 'CrackMapExec']",- **TryHackMe APT28 in the Snare** room necessitates forensic log analysis tracking adversarial lateral movement: initial host discovery via simulated network scans often identified with baseline **nmap**-style signatures; subsequent hunting involves correlating PowerShell execution logs (`Microsoft-Windows-PowerShell/Operational`) for known APT28 command-and-control indicators and utilizing **Volatility Framework** against memory dumps to isolate suspicious processes injecting into legitimate services. (58 words; tools: **nmap**,"Post-compromise AD reconnaissance, identifying privilege escalation paths in Windows domains","['BloodHound analysis', 'AD object enumeration', 'trust relationships', 'identifying high-value targets', 'attack path visualization']","Valued for practical tool usage, helps understand real-world AD penetration testing workflows"
AD: BadSuccessor,hard,"['Impacket', 'secretsdump', 'DCSync tools', 'mimikatz']",- **TryHackMe Archangel** LFI vector exploited by injecting PHP wrapper code (`php://filter/convert.base64-encode/resource=../../etc/passwd`) during enumeration phase; creative privilege escalation achieved by uploading a malicious PHP backdoor via LFI to access a weak cron job configuration that executes user-controlled scripts as root,"Understanding DCSync attacks, credential dumping, post-exploitation in AD environments","['DCSync attack methodology', 'NTDS.dit extraction', 'Kerberos ticket manipulation', 'domain persistence techniques']",Praised for covering advanced AD attack scenarios relevant to real enterprise compromises
AD: Basic Enumeration,easy,"['Nmap', 'enum4linux', 'rpcclient', 'smbclient', 'ldapsearch']",- **TryHackMe Atlas** reconnaissance commenced with **nmap** identifying open ports,"Initial reconnaissance of Windows domains, understanding SMB and LDAP protocols","['NULL session enumeration', 'SMB enumeration', 'LDAP queries', 'user and group discovery', 'share enumeration']","Good introduction for those new to AD pentesting, clear step-by-step guidance"
Advanced ELK Queries,medium,"['Elasticsearch', 'Kibana', 'Lucene query syntax', 'KQL']",- **TryHackMe Atomic Bird Goes Purple #2** emphasized **Advanced Detection Engineering** by developing custom Sigma rules and YARA signatures based on behavioral outputs generated from refined **Atomic Red Team** test executions targeting fileless malware techniques and uncommon command-line argument abuse; practical steps involved tuning rule sensitivity against known false positives identified during testing. (50 words; tools: **Atomic Red Team**,"Log analysis, SIEM operations, threat hunting using ELK stack","['Complex Elasticsearch queries', 'Kibana visualizations', 'aggregations', 'threat hunting queries', 'log correlation']","Highly valued by SOC professionals, teaches practical skills for real security operations"
Advanced SQL Injection,medium,"['SQLMap', 'Burp Suite', 'manual SQL injection techniques']",- **TryHackMe Atomic Red Team** room focused on **Threat Emulation Fundamentals**,"Web application security testing, database exploitation, data extraction techniques","['Boolean-based blind SQLi', 'time-based blind SQLi', 'error-based injection', 'union-based attacks', 'SQLMap automation']",Appreciated for comprehensive coverage of advanced SQLi techniques beyond basic injection
Advanced Static Analysis,hard,"['IDA Pro', 'Ghidra', 'radare2', 'Binary Ninja', 'static analysis tools']",- **TryHackMe Attacking ECB Oracles** simulation executing **Chosen Plaintext Attack (CPA)** against an **ECB** mode **block cipher** implementation; data exfiltration required crafting specific plaintexts to force predictable ciphertext block repetitions,"Malware analysis, reverse engineering, threat intelligence, malware research","['Assembly analysis', 'control flow analysis', 'function identification', 'anti-analysis techniques', 'code deobfuscation']","Highly regarded by reverse engineers, steep learning curve but essential skills for malware analysis"
Advent of Cyber '23 Side Quest,hard,['Various tools across multiple domains'],- **TryHackMe Aware Online Banking** room dictates intercepting and manipulating transaction requests via **Burp Suite Professional/Community** to test **business logic flaws** such as **fund reassignment bypass** or **double-spend vulnerability** by replaying authenticated requests differing only in nonce or sequence numbering; involves thorough **parameter fuzzing** of internal transfer APIs identified during detailed **directory enumeration** post-initial **nmap** scanning. (60 words; tools: **Burp Suite** (Intruder/Repeater),"Advanced CTF-style challenges, multi-domain security skills","['Advanced exploitation', 'creative thinking', 'multi-step attack chains', 'persistence techniques']","Praised as significantly more challenging than main AoC event, rewarding for experienced users"
Advent of Cyber '24 Side Quest,,"['Custom tools', 'advanced exploitation frameworks']",- **TryHackMe Blue** room technique mandates initial **nmap** scanning to confirm SMB service presence (port 445) and Windows version compatibility for **MS17-010** vulnerability; subsequent exploitation leverages the Metasploit module `exploit/windows/smb/ms17_010_eternalblue` with appropriate payloads (e.g.,"Advanced red teaming, sophisticated attack chains, complex problem solving","['Advanced exploitation', 'complex multi-stage attacks', 'creative solutions required']","Noted as having insane difficulty with no guidance, for very experienced users only"
Advent of Cyber 1 [2019],easy,"['Nmap', 'Burp Suite', 'Metasploit', 'various tools']",- **TryHackMe Blueprint** methodology involves precise **nmap** fingerprinting to identify the specific Windows version and subsequently target vulnerable services like the potentially unpatched **OSCOMM** service; exploitation often progresses via service enumeration (perhaps testing for weak configuration or known CVEs) leading to reliable **Remote Code Execution (RCE)**,Comprehensive introduction to cybersecurity domains for beginners,"['Web exploitation basics', 'network scanning', 'basic exploitation', 'scripting fundamentals', 'OSINT introduction']","Solid foundation but older content, still valuable for fundamentals"
Advent of Cyber 2 [2020],easy,"['Nmap', 'Gobuster', 'Hydra', 'Metasploit', 'forensics tools']",- **TryHackMe Boogeyman 3** mandates intricate exploitation chains,Progressive cybersecurity learning covering offensive and defensive topics,"['Web security', 'network exploitation', 'Windows exploitation', 'OSINT', 'basic blue team concepts']","Well-received improvement over first year, more polished content and better learning progression"
